r,theta,observations,leaves,release_no,year,release_in_year
0,0,30,290,1,1995,0
0,0,20,214,1,1995,0
0,0,29,94,1,1995,0
0,0,11,160,1,1995,0
0,0,23,173,1,1995,0
0,0,11,88,1,1995,0
0,0,11,127,1,1995,0
0,0,6,160,1,1995,0
0,0,9,126,1,1995,0
0,0,6,202,1,1995,0
0,0,10,84,1,1995,0
0,0,6,101,1,1995,0
0,0,6,105,1,1995,0
0,0,6,88,1,1995,0
0,0,2,115,1,1995,0
0,0,12,160,1,1995,0
0,0,9,124,1,1995,0
0,0,10,149,1,1995,0
0,0,8,126,1,1995,0
0,0,10,150,1,1995,0
0,0,16,166,2,1995,1
0,0,20,106,2,1995,1
0,0,11,116,2,1995,1
0,0,23,117,2,1995,1
0,0,16,104,2,1995,1
0,0,19,92,2,1995,1
0,0,54,89,2,1995,1
0,0,13,85,2,1995,1
0,0,26,156,2,1995,1
0,0,11,109,2,1995,1
0,0,20,71,2,1995,1
0,0,10,85,2,1995,1
0,0,11,89,2,1995,1
0,0,8,42,2,1995,1
0,0,7,43,2,1995,1
0,0,12,82,2,1995,1
0,0,11,73,2,1995,1
0,0,10,101,2,1995,1
0,0,8,78,2,1995,1
0,0,14,99,2,1995,1
0,0,20,125,1,1995,0
5,0,7,187,1,1995,0
10,0,10,116,1,1995,0
15,0,2,187,1,1995,0
20,0,0,1,1,1995,0
25,0,0,1,1,1995,0
0,0,10,103,1,1995,0
5,0,17,83,1,1995,0
10,0,14,169,1,1995,0
15,0,10,93,1,1995,0
20,0,10,96,1,1995,0
25,0,0,1,1,1995,0
30,0,0,1,1,1995,0
0,0,6,65,1,1995,0
5,0,7,88,1,1995,0
10,0,8,62,1,1995,0
15,0,6,67,1,1995,0
20,0,6,79,1,1995,0
25,0,0,1,1,1995,0
30,0,1,73,1,1995,0
35,0,0,1,1,1995,0
40,0,0,1,1,1995,0
0,0,9,120,1,1995,0
5,0,18,141,1,1995,0
10,0,6,97,1,1995,0
15,0,5,93,1,1995,0
20,0,0,1,1,1995,0
25,0,0,1,1,1995,0
0,0,17,98,2,1995,1
5,0,19,108,2,1995,1
10,0,43,102,2,1995,1
15,0,34,127,2,1995,1
20,0,27,240,2,1995,1
25,0,10,96,2,1995,1
30,0,7,151,2,1995,1
35,0,0,1,2,1995,1
40,0,0,1,2,1995,1
0,0,28,110,2,1995,1
5,0,32,107,2,1995,1
10,0,43,107,2,1995,1
15,0,22,92,2,1995,1
20,0,13,100,2,1995,1
25,0,0,1,2,1995,1
30,0,1,127,2,1995,1
35,0,0,1,2,1995,1
40,0,0,1,2,1995,1
0,0,12,57,2,1995,1
5,0,16,67,2,1995,1
10,0,11,74,2,1995,1
15,0,12,83,2,1995,1
20,0,1,123,2,1995,1
25,0,0,1,2,1995,1
30,0,0,1,2,1995,1
0,0,7,46,2,1995,1
5,0,30,129,2,1995,1
10,0,6,63,2,1995,1
15,0,3,69,2,1995,1
20,0,2,39,2,1995,1
25,0,0,1,2,1995,1
30,0,0,1,2,1995,1
0,5.49778714378214,13,149,1,1995,0
5,5.49778714378214,1,236,1,1995,0
10,5.49778714378214,3,180,1,1995,0
15,5.49778714378214,6,141,1,1995,0
20,5.49778714378214,0,1,1,1995,0
30,5.49778714378214,0,1,1,1995,0
0,5.49778714378214,4,156,1,1995,0
5,5.49778714378214,5,138,1,1995,0
10,5.49778714378214,0,1,1,1995,0
15,5.49778714378214,6,105,1,1995,0
20,5.49778714378214,0,1,1,1995,0
30,5.49778714378214,0,1,1,1995,0
0,5.49778714378214,5,73,1,1995,0
5,5.49778714378214,2,102,1,1995,0
10,5.49778714378214,3,74,1,1995,0
15,5.49778714378214,2,94,1,1995,0
20,5.49778714378214,0,1,1,1995,0
30,5.49778714378214,0,1,1,1995,0
0,5.49778714378214,12,168,1,1995,0
5,5.49778714378214,4,107,1,1995,0
10,5.49778714378214,1,129,1,1995,0
15,5.49778714378214,3,137,1,1995,0
20,5.49778714378214,0,1,1,1995,0
30,5.49778714378214,0,1,1,1995,0
0,5.49778714378214,42,255,2,1995,1
5,5.49778714378214,17,142,2,1995,1
10,5.49778714378214,7,163,2,1995,1
15,5.49778714378214,4,127,2,1995,1
20,5.49778714378214,10,172,2,1995,1
30,5.49778714378214,0,1,2,1995,1
35,5.49778714378214,0,1,2,1995,1
0,5.49778714378214,5,130,2,1995,1
5,5.49778714378214,3,180,2,1995,1
10,5.49778714378214,0,1,2,1995,1
15,5.49778714378214,0,1,2,1995,1
0,5.49778714378214,11,73,2,1995,1
5,5.49778714378214,12,106,2,1995,1
10,5.49778714378214,5,88,2,1995,1
15,5.49778714378214,3,84,2,1995,1
20,5.49778714378214,1,91,2,1995,1
30,5.49778714378214,0,1,2,1995,1
35,5.49778714378214,0,1,2,1995,1
0,5.49778714378214,12,165,2,1995,1
5,5.49778714378214,5,94,2,1995,1
10,5.49778714378214,9,107,2,1995,1
15,5.49778714378214,5,162,2,1995,1
20,5.49778714378214,1,86,2,1995,1
30,5.49778714378214,0,1,2,1995,1
35,5.49778714378214,0,1,2,1995,1
0,4.71238898038469,17,409,1,1995,0
5,4.71238898038469,6,173,1,1995,0
10,4.71238898038469,3,154,1,1995,0
15,4.71238898038469,1,194,1,1995,0
20,4.71238898038469,0,1,1,1995,0
25,4.71238898038469,0,1,1,1995,0
0,4.71238898038469,5,147,1,1995,0
5,4.71238898038469,1,126,1,1995,0
10,4.71238898038469,1,198,1,1995,0
15,4.71238898038469,3,66,1,1995,0
20,4.71238898038469,0,1,1,1995,0
25,4.71238898038469,0,1,1,1995,0
0,4.71238898038469,8,106,1,1995,0
5,4.71238898038469,2,93,1,1995,0
10,4.71238898038469,1,73,1,1995,0
15,4.71238898038469,0,1,1,1995,0
20,4.71238898038469,0,1,1,1995,0
0,4.71238898038469,12,136,1,1995,0
5,4.71238898038469,6,127,1,1995,0
10,4.71238898038469,3,112,1,1995,0
15,4.71238898038469,2,103,1,1995,0
20,4.71238898038469,0,1,1,1995,0
25,4.71238898038469,0,1,1,1995,0
0,4.71238898038469,19,143,2,1995,1
5,4.71238898038469,7,108,2,1995,1
10,4.71238898038469,2,107,2,1995,1
15,4.71238898038469,0,1,2,1995,1
20,4.71238898038469,0,1,2,1995,1
0,4.71238898038469,11,183,2,1995,1
5,4.71238898038469,3,155,2,1995,1
10,4.71238898038469,1,111,2,1995,1
15,4.71238898038469,0,1,2,1995,1
20,4.71238898038469,0,1,2,1995,1
0,4.71238898038469,6,82,2,1995,1
5,4.71238898038469,2,78,2,1995,1
10,4.71238898038469,0,1,2,1995,1
15,4.71238898038469,0,1,2,1995,1
20,4.71238898038469,0,1,2,1995,1
0,4.71238898038469,3,74,2,1995,1
5,4.71238898038469,1,1,2,1995,1
10,4.71238898038469,1,107,2,1995,1
15,4.71238898038469,1,110,2,1995,1
20,4.71238898038469,3,203,2,1995,1
25,4.71238898038469,0,1,2,1995,1
25,4.71238898038469,0,1,2,1995,1
0,3.92699081698724,19,157,1,1995,0
5,3.92699081698724,6,143,1,1995,0
10,3.92699081698724,4,145,1,1995,0
15,3.92699081698724,3,188,1,1995,0
20,3.92699081698724,0,1,1,1995,0
25,3.92699081698724,0,1,1,1995,0
0,3.92699081698724,4,109,1,1995,0
5,3.92699081698724,2,190,1,1995,0
10,3.92699081698724,0,1,1,1995,0
15,3.92699081698724,0,1,1,1995,0
20,3.92699081698724,0,1,1,1995,0
25,3.92699081698724,0,1,1,1995,0
0,3.92699081698724,1,73,1,1995,0
5,3.92699081698724,1,71,1,1995,0
10,3.92699081698724,0,1,1,1995,0
15,3.92699081698724,0,1,1,1995,0
0,3.92699081698724,15,183,1,1995,0
5,3.92699081698724,9,185,1,1995,0
10,3.92699081698724,2,135,1,1995,0
15,3.92699081698724,0,1,1,1995,0
20,3.92699081698724,0,1,1,1995,0
0,3.92699081698724,12,91,2,1995,1
5,3.92699081698724,1,135,2,1995,1
10,3.92699081698724,0,1,2,1995,1
15,3.92699081698724,0,1,2,1995,1
0,3.92699081698724,12,122,2,1995,1
5,3.92699081698724,3,132,2,1995,1
10,3.92699081698724,0,1,2,1995,1
15,3.92699081698724,0,1,2,1995,1
0,3.92699081698724,2,76,2,1995,1
5,3.92699081698724,0,1,2,1995,1
10,3.92699081698724,0,1,2,1995,1
0,3.92699081698724,2,83,2,1995,1
5,3.92699081698724,4,115,2,1995,1
10,3.92699081698724,1,114,2,1995,1
15,3.92699081698724,2,96,2,1995,1
20,3.92699081698724,2,100,2,1995,1
25,3.92699081698724,0,1,2,1995,1
30,3.92699081698724,0,1,2,1995,1
0,3.14159265358979,9,121,1,1995,0
5,3.14159265358979,15,186,1,1995,0
10,3.14159265358979,6,208,1,1995,0
15,3.14159265358979,4,157,1,1995,0
20,3.14159265358979,0,1,1,1995,0
25,3.14159265358979,0,1,1,1995,0
0,3.14159265358979,7,115,1,1995,0
5,3.14159265358979,2,133,1,1995,0
10,3.14159265358979,1,218,1,1995,0
15,3.14159265358979,2,195,1,1995,0
20,3.14159265358979,0,1,1,1995,0
25,3.14159265358979,0,1,1,1995,0
0,3.14159265358979,4,50,1,1995,0
5,3.14159265358979,4,93,1,1995,0
10,3.14159265358979,5,100,1,1995,0
15,3.14159265358979,0,1,1,1995,0
20,3.14159265358979,0,1,1,1995,0
0,3.14159265358979,8,116,1,1995,0
5,3.14159265358979,3,119,1,1995,0
10,3.14159265358979,2,175,1,1995,0
15,3.14159265358979,0,1,1,1995,0
20,3.14159265358979,0,1,1,1995,0
0,3.14159265358979,5,132,2,1995,1
5,3.14159265358979,4,89,2,1995,1
10,3.14159265358979,0,1,2,1995,1
15,3.14159265358979,0,1,2,1995,1
0,3.14159265358979,22,119,2,1995,1
5,3.14159265358979,13,172,2,1995,1
10,3.14159265358979,4,102,2,1995,1
15,3.14159265358979,1,132,2,1995,1
20,3.14159265358979,0,1,2,1995,1
25,3.14159265358979,0,1,2,1995,1
0,3.14159265358979,4,49,2,1995,1
5,3.14159265358979,1,62,2,1995,1
10,3.14159265358979,1,65,2,1995,1
15,3.14159265358979,0,1,2,1995,1
20,3.14159265358979,0,1,2,1995,1
0,3.14159265358979,0,1,2,1995,1
5,3.14159265358979,0,1,2,1995,1
0,2.35619449019234,7,200,1,1995,0
5,2.35619449019234,6,134,1,1995,0
10,2.35619449019234,8,372,1,1995,0
15,2.35619449019234,8,153,1,1995,0
20,2.35619449019234,0,1,1,1995,0
25,2.35619449019234,0,1,1,1995,0
0,2.35619449019234,7,126,1,1995,0
5,2.35619449019234,3,120,1,1995,0
10,2.35619449019234,3,146,1,1995,0
15,2.35619449019234,0,1,1,1995,0
20,2.35619449019234,1,111,1,1995,0
25,2.35619449019234,0,1,1,1995,0
30,2.35619449019234,0,1,1,1995,0
0,2.35619449019234,12,93,1,1995,0
5,2.35619449019234,2,63,1,1995,0
10,2.35619449019234,3,81,1,1995,0
15,2.35619449019234,0,1,1,1995,0
20,2.35619449019234,0,1,1,1995,0
0,2.35619449019234,5,122,1,1995,0
5,2.35619449019234,4,329,1,1995,0
10,2.35619449019234,3,235,1,1995,0
15,2.35619449019234,0,1,1,1995,0
20,2.35619449019234,0,1,1,1995,0
0,2.35619449019234,5,147,2,1995,1
5,2.35619449019234,0,1,2,1995,1
10,2.35619449019234,0,1,2,1995,1
0,2.35619449019234,11,94,2,1995,1
5,2.35619449019234,8,142,2,1995,1
10,2.35619449019234,12,202,2,1995,1
15,2.35619449019234,0,1,2,1995,1
20,2.35619449019234,3,114,2,1995,1
25,2.35619449019234,0,1,2,1995,1
30,2.35619449019234,0,1,2,1995,1
0,2.35619449019234,4,104,2,1995,1
5,2.35619449019234,3,111,2,1995,1
10,2.35619449019234,1,120,2,1995,1
15,2.35619449019234,0,1,2,1995,1
20,2.35619449019234,0,1,2,1995,1
0,2.35619449019234,8,101,2,1995,1
5,2.35619449019234,4,137,2,1995,1
10,2.35619449019234,2,71,2,1995,1
15,2.35619449019234,3,136,2,1995,1
20,2.35619449019234,3,90,2,1995,1
25,2.35619449019234,0,1,2,1995,1
30,2.35619449019234,0,1,2,1995,1
0,1.5707963267949,12,176,1,1995,0
5,1.5707963267949,8,115,1,1995,0
10,1.5707963267949,21,405,1,1995,0
15,1.5707963267949,7,130,1,1995,0
20,1.5707963267949,0,1,1,1995,0
30,1.5707963267949,0,1,1,1995,0
0,1.5707963267949,5,176,1,1995,0
5,1.5707963267949,6,99,1,1995,0
10,1.5707963267949,5,117,1,1995,0
15,1.5707963267949,4,70,1,1995,0
20,1.5707963267949,6,134,1,1995,0
30,1.5707963267949,0,1,1,1995,0
35,1.5707963267949,0,1,1,1995,0
0,1.5707963267949,18,104,1,1995,0
5,1.5707963267949,7,63,1,1995,0
10,1.5707963267949,6,56,1,1995,0
15,1.5707963267949,1,50,1,1995,0
20,1.5707963267949,0,1,1,1995,0
30,1.5707963267949,0,1,1,1995,0
0,1.5707963267949,6,114,1,1995,0
5,1.5707963267949,4,133,1,1995,0
10,1.5707963267949,3,143,1,1995,0
15,1.5707963267949,6,173,1,1995,0
20,1.5707963267949,0,1,1,1995,0
30,1.5707963267949,0,1,1,1995,0
0,1.5707963267949,17,99,2,1995,1
5,1.5707963267949,8,160,2,1995,1
10,1.5707963267949,12,137,2,1995,1
15,1.5707963267949,11,137,2,1995,1
20,1.5707963267949,2,155,2,1995,1
30,1.5707963267949,0,1,2,1995,1
35,1.5707963267949,0,1,2,1995,1
0,1.5707963267949,30,128,2,1995,1
5,1.5707963267949,35,96,2,1995,1
10,1.5707963267949,18,78,2,1995,1
15,1.5707963267949,27,132,2,1995,1
20,1.5707963267949,13,172,2,1995,1
30,1.5707963267949,3,154,2,1995,1
35,1.5707963267949,0,1,2,1995,1
40,1.5707963267949,0,1,2,1995,1
0,1.5707963267949,7,65,2,1995,1
5,1.5707963267949,7,98,2,1995,1
10,1.5707963267949,0,1,2,1995,1
15,1.5707963267949,0,1,2,1995,1
0,1.5707963267949,12,118,2,1995,1
5,1.5707963267949,6,71,2,1995,1
10,1.5707963267949,5,79,2,1995,1
15,1.5707963267949,6,106,2,1995,1
20,1.5707963267949,11,88,2,1995,1
30,1.5707963267949,0,1,2,1995,1
35,1.5707963267949,0,1,2,1995,1
0,0.785398163397448,15,129,1,1995,0
5,0.785398163397448,11,175,1,1995,0
10,0.785398163397448,7,171,1,1995,0
15,0.785398163397448,2,126,1,1995,0
20,0.785398163397448,0,1,1,1995,0
30,0.785398163397448,0,1,1,1995,0
0,0.785398163397448,8,163,1,1995,0
5,0.785398163397448,9,115,1,1995,0
10,0.785398163397448,10,89,1,1995,0
15,0.785398163397448,11,76,1,1995,0
20,0.785398163397448,9,98,1,1995,0
30,0.785398163397448,0,1,1,1995,0
40,0.785398163397448,0,1,1,1995,0
0,0.785398163397448,15,64,1,1995,0
5,0.785398163397448,11,94,1,1995,0
10,0.785398163397448,12,68,1,1995,0
15,0.785398163397448,11,108,1,1995,0
20,0.785398163397448,7,72,1,1995,0
30,0.785398163397448,10,122,1,1995,0
40,0.785398163397448,1,72,1,1995,0
45,0.785398163397448,0,1,1,1995,0
50,0.785398163397448,0,1,1,1995,0
0,0.785398163397448,4,163,1,1995,0
5,0.785398163397448,4,76,1,1995,0
10,0.785398163397448,8,125,1,1995,0
15,0.785398163397448,5,78,1,1995,0
20,0.785398163397448,0,1,1,1995,0
30,0.785398163397448,0,1,1,1995,0
0,0.785398163397448,12,90,2,1995,1
5,0.785398163397448,12,116,2,1995,1
10,0.785398163397448,10,80,2,1995,1
15,0.785398163397448,47,154,2,1995,1
20,0.785398163397448,34,91,2,1995,1
30,0.785398163397448,13,113,2,1995,1
40,0.785398163397448,2,272,2,1995,1
45,0.785398163397448,0,1,2,1995,1
50,0.785398163397448,0,1,2,1995,1
0,0.785398163397448,51,101,2,1995,1
5,0.785398163397448,31,113,2,1995,1
10,0.785398163397448,9,95,2,1995,1
15,0.785398163397448,10,149,2,1995,1
20,0.785398163397448,7,35,2,1995,1
30,0.785398163397448,0,1,2,1995,1
40,0.785398163397448,0,1,2,1995,1
0,0.785398163397448,26,74,2,1995,1
5,0.785398163397448,9,87,2,1995,1
10,0.785398163397448,6,65,2,1995,1
15,0.785398163397448,3,68,2,1995,1
20,0.785398163397448,1,77,2,1995,1
30,0.785398163397448,0,1,2,1995,1
40,0.785398163397448,0,1,2,1995,1
0,0.785398163397448,37,80,2,1995,1
5,0.785398163397448,11,75,2,1995,1
10,0.785398163397448,36,308,2,1995,1
15,0.785398163397448,7,63,2,1995,1
20,0.785398163397448,9,70,2,1995,1
30,0.785398163397448,0,1,2,1995,1
40,0.785398163397448,0,1,2,1995,1
0,0,10,79,3,1995,2
0,0,6,58,3,1995,2
0,0,11,87,3,1995,2
0,0,7,70,3,1995,2
0,0,29,59,3,1995,2
0,0,16,170,3,1995,2
5,0,12,98,3,1995,2
10,0,14,133,3,1995,2
15,0,20,171,3,1995,2
20,0,28,111,3,1995,2
30,0,3,102,3,1995,2
35,0,0,1,3,1995,2
40,0,0,1,3,1995,2
0,0,35,120,3,1995,2
5,0,38,174,3,1995,2
10,0,16,114,3,1995,2
15,0,16,132,3,1995,2
20,0,0,1,3,1995,2
25,0,0,1,3,1995,2
0,5.49778714378214,17,103,3,1995,2
5,5.49778714378214,12,136,3,1995,2
10,5.49778714378214,5,97,3,1995,2
15,5.49778714378214,7,115,3,1995,2
20,5.49778714378214,0,1,3,1995,2
25,5.49778714378214,0,1,3,1995,2
0,4.71238898038469,6,109,3,1995,2
5,4.71238898038469,5,81,3,1995,2
10,4.71238898038469,2,72,3,1995,2
15,4.71238898038469,2,79,3,1995,2
20,4.71238898038469,1,105,3,1995,2
25,4.71238898038469,0,1,3,1995,2
30,4.71238898038469,0,1,3,1995,2
0,3.92699081698724,3,108,3,1995,2
5,3.92699081698724,0,1,3,1995,2
10,3.92699081698724,0,1,3,1995,2
0,3.14159265358979,5,108,3,1995,2
5,3.14159265358979,3,112,3,1995,2
10,3.14159265358979,0,1,3,1995,2
15,3.14159265358979,0,1,3,1995,2
0,2.35619449019234,7,165,3,1995,2
5,2.35619449019234,2,123,3,1995,2
10,2.35619449019234,1,108,3,1995,2
15,2.35619449019234,0,1,3,1995,2
20,2.35619449019234,0,1,3,1995,2
0,1.5707963267949,4,103,3,1995,2
5,1.5707963267949,3,89,3,1995,2
10,1.5707963267949,0,1,3,1995,2
15,1.5707963267949,0,1,3,1995,2
0,0.785398163397448,19,84,3,1995,2
5,0.785398163397448,13,111,3,1995,2
10,0.785398163397448,1,108,3,1995,2
15,0.785398163397448,3,124,3,1995,2
20,0.785398163397448,0,1,3,1995,2
25,0.785398163397448,0,1,3,1995,2
0,0,9,84,3,1995,2
0,0,9,161,3,1995,2
0,0,7,116,3,1995,2
0,0,3,119,3,1995,2
0,0,4,92,3,1995,2
0,0,4,177,3,1995,2
5,0,9,102,3,1995,2
10,0,12,65,3,1995,2
15,0,9,106,3,1995,2
20,0,5,127,3,1995,2
30,0,0,1,3,1995,2
35,0,0,1,3,1995,2
0,5.49778714378214,3,108,3,1995,2
5,5.49778714378214,0,1,3,1995,2
10,5.49778714378214,0,1,3,1995,2
0,4.71238898038469,3,63,3,1995,2
5,4.71238898038469,1,97,3,1995,2
10,4.71238898038469,0,1,3,1995,2
15,4.71238898038469,0,1,3,1995,2
0,3.92699081698724,1,128,3,1995,2
5,3.92699081698724,0,1,3,1995,2
10,3.92699081698724,0,1,3,1995,2
0,3.14159265358979,1,110,3,1995,2
5,3.14159265358979,1,80,3,1995,2
10,3.14159265358979,0,1,3,1995,2
15,3.14159265358979,0,1,3,1995,2
0,2.35619449019234,0,1,3,1995,2
5,2.35619449019234,0,1,3,1995,2
0,1.5707963267949,15,153,3,1995,2
5,1.5707963267949,6,121,3,1995,2
10,1.5707963267949,1,132,3,1995,2
15,1.5707963267949,0,1,3,1995,2
20,1.5707963267949,0,1,3,1995,2
0,0.785398163397448,17,150,3,1995,2
5,0.785398163397448,20,156,3,1995,2
10,0.785398163397448,15,90,3,1995,2
15,0.785398163397448,6,80,3,1995,2
20,0.785398163397448,8,77,3,1995,2
30,0.785398163397448,4,87,3,1995,2
35,0.785398163397448,0,1,3,1995,2
40,0.785398163397448,0,1,3,1995,2
0,0,25,121,3,1995,2
0,0.785398163397448,41,110,3,1995,2
5,0.785398163397448,39,104,3,1995,2
10,0.785398163397448,26,72,3,1995,2
15,0.785398163397448,12,80,3,1995,2
20,0.785398163397448,7,73,3,1995,2
30,0.785398163397448,7,118,3,1995,2
35,0.785398163397448,0,1,3,1995,2
40,0.785398163397448,0,1,3,1995,2
0,0,3,81,3,1995,2
0,0,10,85,3,1995,2
0,0,5,82,3,1995,2
0,0,7,70,3,1995,2
0,0,9,102,3,1995,2
0,0,9,112,3,1995,2
5,0,9,91,3,1995,2
10,0,20,72,3,1995,2
15,0,13,126,3,1995,2
20,0,10,114,3,1995,2
30,0,2,108,3,1995,2
35,0,0,1,3,1995,2
40,0,0,1,3,1995,2
0,5.49778714378214,13,77,3,1995,2
5,5.49778714378214,3,116,3,1995,2
10,5.49778714378214,4,93,3,1995,2
15,5.49778714378214,2,87,3,1995,2
20,5.49778714378214,0,1,3,1995,2
25,5.49778714378214,0,1,3,1995,2
0,4.71238898038469,15,110,3,1995,2
5,4.71238898038469,5,97,3,1995,2
10,4.71238898038469,3,114,3,1995,2
15,4.71238898038469,0,1,3,1995,2
20,4.71238898038469,0,1,3,1995,2
0,3.92699081698724,0,1,3,1995,2
5,3.92699081698724,3,135,3,1995,2
10,3.92699081698724,1,85,3,1995,2
15,3.92699081698724,0,1,3,1995,2
20,3.92699081698724,0,1,3,1995,2
0,3.14159265358979,2,136,3,1995,2
5,3.14159265358979,0,1,3,1995,2
10,3.14159265358979,0,1,3,1995,2
0,2.35619449019234,5,135,3,1995,2
5,2.35619449019234,0,1,3,1995,2
10,2.35619449019234,0,1,3,1995,2
0,1.5707963267949,4,87,3,1995,2
5,1.5707963267949,1,71,3,1995,2
10,1.5707963267949,0,1,3,1995,2
15,1.5707963267949,0,1,3,1995,2
0,0.785398163397448,0,1,3,1995,2
5,0.785398163397448,2,81,3,1995,2
10,0.785398163397448,0,1,3,1995,2
15,0.785398163397448,0,1,3,1995,2
0,0,2,85,3,1995,2
0,0,10,96,3,1995,2
0,0,14,68,3,1995,2
0,0,4,119,3,1995,2
0,0,4,91,3,1995,2
0,0,9,69,3,1995,2
5,0,8,102,3,1995,2
10,0,11,80,3,1995,2
15,0,15,74,3,1995,2
20,0,21,74,3,1995,2
30,0,8,78,3,1995,2
40,0,1,117,3,1995,2
